neurons,fold,accuracy,precision,recall,f1,confusion_matrix
5,1,0.72,0.6435,0.72,0.6607241379310345,"[[11  0  1  1  0]
 [ 0  7  0  0  0]
 [ 0  1  9  0  0]
 [ 0  0  0  0 11]
 [ 0  0  0  0  9]]"
10,1,0.92,0.9281363636363636,0.92,0.9204786967418547,"[[11  0  2  0  0]
 [ 0  7  0  0  0]
 [ 0  1  9  0  0]
 [ 0  0  0 10  1]
 [ 0  0  0  0  9]]"
15,1,0.84,0.8573333333333335,0.84,0.8322394272394271,"[[11  0  2  0  0]
 [ 0  7  0  0  0]
 [ 0  0 10  0  0]
 [ 0  0  0 10  1]
 [ 0  0  0  5  4]]"
20,1,0.94,0.9490909090909092,0.94,0.9400761904761904,"[[12  0  1  0  0]
 [ 0  7  0  0  0]
 [ 0  0 10  0  0]
 [ 0  0  0  9  2]
 [ 0  0  0  0  9]]"
5,2,0.9,0.9204040404040404,0.9,0.8973664852668758,"[[ 8  0  0  0  0]
 [ 0 10  0  0  0]
 [ 3  1  8  0  0]
 [ 0  0  0  8  0]
 [ 0  0  0  1 11]]"
10,2,0.82,0.9018181818181819,0.82,0.8067080745341616,"[[ 8  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  1 11  0  0]
 [ 0  0  0  8  0]
 [ 0  0  0  8  4]]"
15,2,0.74,0.6458181818181817,0.74,0.6714699792960662,"[[ 8  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  1 11  0  0]
 [ 0  0  0  8  0]
 [ 0  0  0 12  0]]"
20,2,0.86,0.9018181818181819,0.86,0.8360414078674949,"[[ 8  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  1 11  0  0]
 [ 0  0  0  2  6]
 [ 0  0  0  0 12]]"
5,3,0.62,0.58,0.62,0.553613986657465,"[[10  0  0  0  0]
 [ 0 10  1  0  0]
 [ 7  0  5  0  0]
 [ 0  0  0  0 11]
 [ 0  0  0  0  6]]"
10,3,0.94,0.9495238095238097,0.94,0.9402930402930403,"[[10  0  0  0  0]
 [ 0 11  0  0  0]
 [ 2  0 10  0  0]
 [ 0  0  0 10  1]
 [ 0  0  0  0  6]]"
15,3,0.94,0.9393333333333334,0.94,0.938577075098814,"[[10  0  0  0  0]
 [ 0 11  0  0  0]
 [ 0  0 12  0  0]
 [ 0  0  0 10  1]
 [ 0  0  0  2  4]]"
20,3,1.0,1.0,1.0,1.0,"[[10  0  0  0  0]
 [ 0 11  0  0  0]
 [ 0  0 12  0  0]
 [ 0  0  0 11  0]
 [ 0  0  0  0  6]]"
5,4,0.64,0.4776470588235294,0.64,0.5310814814814815,"[[12  0  0  0  1]
 [ 0 10  0  0  0]
 [ 0  7  0  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0 10  0]]"
10,4,0.96,0.9636363636363636,0.96,0.9596568343936765,"[[13  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  1  6  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0  1  9]]"
15,4,0.98,0.9818181818181819,0.98,0.9797069597069598,"[[13  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  1  6  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0  0 10]]"
20,4,0.96,0.9636363636363637,0.96,0.9596568343936765,"[[13  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  1  6  0  0]
 [ 0  0  0  9  1]
 [ 0  0  0  0 10]]"
5,5,0.7,0.7157489878542509,0.7,0.6710122072653513,"[[ 5  0  1  0  0]
 [ 0 12  0  0  0]
 [ 0  1  8  0  0]
 [ 0  0  0  8  2]
 [ 0  0  0 11  2]]"
10,5,0.96,0.9666666666666667,0.96,0.9601515151515152,"[[ 6  0  0  0  0]
 [ 0 12  0  0  0]
 [ 0  0  9  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0  2 11]]"
15,5,0.88,0.925,0.88,0.8758461538461539,"[[ 6  0  0  0  0]
 [ 0 12  0  0  0]
 [ 0  0  9  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0  6  7]]"
20,5,0.78,0.6689565217391304,0.78,0.7073950026581605,"[[ 5  0  1  0  0]
 [ 0 12  0  0  0]
 [ 0  0  9  0  0]
 [ 0  0  0  0 10]
 [ 0  0  0  0 13]]"
