neurons,fold,accuracy,precision,recall,f1,confusion_matrix
5,1,0.82,0.8391153846153847,0.82,0.8163809523809524,"[[ 9  0  0  4  0]
 [ 0  7  0  0  0]
 [ 0  0 10  0  0]
 [ 0  1  0  6  4]
 [ 0  0  0  0  9]]"
10,1,0.8,0.8168931623931625,0.8,0.7981616888069978,"[[10  0  1  2  0]
 [ 0  7  0  0  0]
 [ 0  0  8  2  0]
 [ 0  1  0  6  4]
 [ 0  0  0  0  9]]"
15,1,0.84,0.8509444444444445,0.84,0.8420434782608696,"[[11  0  1  1  0]
 [ 0  7  0  0  0]
 [ 0  0  8  2  0]
 [ 0  1  0  8  2]
 [ 0  0  0  1  8]]"
20,1,0.8,0.8168931623931625,0.8,0.7981616888069978,"[[10  0  1  2  0]
 [ 0  7  0  0  0]
 [ 0  0  8  2  0]
 [ 0  1  0  6  4]
 [ 0  0  0  0  9]]"
5,2,0.94,0.9448951048951048,0.94,0.9388190476190477,"[[ 8  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  1 11  0  0]
 [ 0  0  2  6  0]
 [ 0  0  0  0 12]]"
10,2,0.94,0.9538461538461539,0.94,0.9406211180124224,"[[ 8  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  1 11  0  0]
 [ 0  2  0  6  0]
 [ 0  0  0  0 12]]"
15,2,0.94,0.9498181818181819,0.94,0.9404454482715352,"[[ 8  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  1 11  0  0]
 [ 0  0  0  8  0]
 [ 0  0  0  2 10]]"
20,2,0.96,0.9666666666666667,0.96,0.9607167325428194,"[[ 8  0  0  0  0]
 [ 0 10  0  0  0]
 [ 0  1 11  0  0]
 [ 0  1  0  7  0]
 [ 0  0  0  0 12]]"
5,3,0.84,0.8584102564102564,0.84,0.8306117647058824,"[[10  0  0  0  0]
 [ 0 10  0  0  1]
 [ 0  0 11  1  0]
 [ 0  1  2  5  3]
 [ 0  0  0  0  6]]"
10,3,0.84,0.8584102564102564,0.84,0.8306117647058824,"[[10  0  0  0  0]
 [ 0 10  0  0  1]
 [ 0  0 11  1  0]
 [ 0  1  2  5  3]
 [ 0  0  0  0  6]]"
15,3,0.84,0.8771028971028971,0.84,0.8405725490196079,"[[10  0  0  0  0]
 [ 0  9  0  0  2]
 [ 0  0 11  1  0]
 [ 0  0  2  6  3]
 [ 0  0  0  0  6]]"
20,3,0.82,0.892,0.82,0.8086666666666666,"[[10  0  0  0  0]
 [ 0  9  0  0  2]
 [ 0  0 12  0  0]
 [ 0  0  3  4  4]
 [ 0  0  0  0  6]]"
5,4,0.78,0.7583784271284272,0.78,0.7635413076301301,"[[13  0  0  0  0]
 [ 0  8  0  2  0]
 [ 0  0  6  1  0]
 [ 3  1  1  3  2]
 [ 0  0  0  1  9]]"
10,4,0.84,0.8668055555555556,0.84,0.8097293224017362,"[[13  0  0  0  0]
 [ 0  9  1  0  0]
 [ 0  0  7  0  0]
 [ 3  1  1  3  2]
 [ 0  0  0  0 10]]"
15,4,0.82,0.7964848484848486,0.82,0.795151515151515,"[[12  0  0  1  0]
 [ 0 10  0  0  0]
 [ 0  0  6  1  0]
 [ 3  1  1  3  2]
 [ 0  0  0  0 10]]"
20,4,0.76,0.7403809523809524,0.76,0.7428191155249979,"[[12  0  0  1  0]
 [ 0  7  1  2  0]
 [ 0  0  6  1  0]
 [ 3  1  1  3  2]
 [ 0  0  0  0 10]]"
5,5,0.9,0.9044155844155845,0.9,0.8938058412176059,"[[ 5  0  0  1  0]
 [ 0 12  0  0  0]
 [ 0  0  9  0  0]
 [ 0  2  2  6  0]
 [ 0  0  0  0 13]]"
10,5,0.92,0.932987012987013,0.92,0.9135384615384615,"[[ 6  0  0  0  0]
 [ 0 12  0  0  0]
 [ 0  0  9  0  0]
 [ 0  2  2  6  0]
 [ 0  0  0  0 13]]"
15,5,0.92,0.9365384615384617,0.92,0.9146857142857142,"[[ 6  0  0  0  0]
 [ 0 12  0  0  0]
 [ 0  0  9  0  0]
 [ 0  1  3  6  0]
 [ 0  0  0  0 13]]"
20,5,0.92,0.9365384615384617,0.92,0.9146857142857142,"[[ 6  0  0  0  0]
 [ 0 12  0  0  0]
 [ 0  0  9  0  0]
 [ 0  1  3  6  0]
 [ 0  0  0  0 13]]"
